typeId	buyWeightedAverage	buyMax	buyMin	buyStddev	buyMedian	buyVolume	buyOrderCount	buyPercentile	sellWeightedAverage	sellMax	sellMin	sellStddev	sellMedian	sellVolume	sellOrderCount	sellPercentile
18	33.61581193	39.71 ISK	0.03 ISK	14.66 ISK	36.85 ISK	16982270	15	39.71 ISK	357.24 ISK	600.00 ISK	349.00 ISK	122.09 ISK	422.50 ISK	2507782	4	349.00 ISK
19	7829.686046	7,830.50 ISK	3,913.51 ISK	2,769.43 ISK	5,871.76 ISK	99241	5	7,830.50 ISK	0.00 ISK	0.00 ISK	0.00 ISK	0.00 ISK	0.00 ISK	0	0	0.00 ISK
20	382.7255163	460.11 ISK	0.37 ISK	161.61 ISK	429.08 ISK	7051285	18	459.97 ISK	554.47 ISK	1,793.05 ISK	496.90 ISK	186.29 ISK	539.27 ISK	15927254	51	497.07 ISK
21	679.8645555	712.70 ISK	643.60 ISK	34.42 ISK	712.30 ISK	584874	7	712.61 ISK	2,392.67 ISK	3,250.00 ISK	865.90 ISK	950.34 ISK	1,179.00 ISK	12184	8	867.54 ISK
22	2848.769747	3,315.00 ISK	2,050.00 ISK	532.85 ISK	3,093.00 ISK	82462	8	3,309.43 ISK	6,717.94 ISK	7,400.00 ISK	6,490.00 ISK	367.07 ISK	6,700.00 ISK	21530	7	6,523.36 ISK
34	2.122028812	3.50 ISK	0.56 ISK	1.05 ISK	3.00 ISK	8677822173	19	3.50 ISK	4.59 ISK	29,930.00 ISK	4.18 ISK	5,203.14 ISK	5.03 ISK	4005535402	33	4.18 ISK
35	11.0174898	17.10 ISK	3.24 ISK	5.12 ISK	14.74 ISK	5253698608	34	17.10 ISK	20.92 ISK	48,626.26 ISK	18.05 ISK	10,293.20 ISK	21.90 ISK	5032659107	112	18.08 ISK
36	44.41537826	61.00 ISK	1.00 ISK	16.65 ISK	51.87 ISK	1289426184	42	57.27 ISK	88.32 ISK	55,890,000.00 ISK	64.90 ISK	8,194,368.58 ISK	69.75 ISK	1443293583	92	65.47 ISK
37	158.3420818	224.20 ISK	32.00 ISK	46.54 ISK	194.62 ISK	457142726	79	223.87 ISK	369.20 ISK	25,639,336.12 ISK	234.87 ISK	3,109,151.16 ISK	272.01 ISK	273218774	69	235.50 ISK
38	705.8705758	777.90 ISK	480.00 ISK	72.62 ISK	705.75 ISK	148732391	67	770.97 ISK	946.14 ISK	95,330,000.00 ISK	820.70 ISK	9,485,594.51 ISK	882.10 ISK	189078852	101	820.77 ISK
39	691.1359693	1,612.00 ISK	100.00 ISK	376.01 ISK	1,113.00 ISK	77844977	120	1,582.07 ISK	2,006.03 ISK	17,630,000.00 ISK	1,736.00 ISK	4,040,111.63 ISK	1,811.00 ISK	40648392	30	1,740.96 ISK
40	1397.033804	2,400.00 ISK	250.00 ISK	471.85 ISK	2,158.00 ISK	26201330	84	2,377.96 ISK	3,251.84 ISK	19,990,000.00 ISK	2,428.00 ISK	2,601,939.44 ISK	2,868.00 ISK	16165373	59	2,465.35 ISK
41	11.04567196	12.05 ISK	10.11 ISK	0.96 ISK	12.03 ISK	919491	4	12.01 ISK	92.29 ISK	107.00 ISK	66.00 ISK	14.04 ISK	95.00 ISK	4337481	7	85.96 ISK
42	760.2840124	822.80 ISK	705.00 ISK	63.44 ISK	820.00 ISK	251766	6	822.80 ISK	48,898.21 ISK	49,770.00 ISK	48,890.00 ISK	373.19 ISK	48,980.00 ISK	117919	5	48,890.00 ISK
43	88.93506242	158.50 ISK	27.10 ISK	45.34 ISK	155.45 ISK	1298918	11	158.35 ISK	1,473.53 ISK	249,963.47 ISK	305.41 ISK	88,053.64 ISK	973.46 ISK	136684	9	698.91 ISK
44	8039.79012	10,814.48 ISK	1,007.75 ISK	2,526.67 ISK	10,387.57 ISK	687859	26	10,814.48 ISK	12,749.92 ISK	15,895.66 ISK	11,315.85 ISK	1,144.00 ISK	12,162.24 ISK	1547675	47	11,355.78 ISK
45	71.63090187	72.00 ISK	65.40 ISK	3.56 ISK	71.00 ISK	627742	3	72.00 ISK	3,706.75 ISK	3,790.00 ISK	3,704.00 ISK	34.72 ISK	3,736.50 ISK	347056	6	3,704.00 ISK
178	2.937566389	3.07 ISK	2.33 ISK	0.38 ISK	2.36 ISK	18889098	6	3.07 ISK	5.32 ISK	10.00 ISK	4.30 ISK	2.01 ISK	5.00 ISK	1750448	16	4.30 ISK
179	6.251148631	6.51 ISK	3.01 ISK	1.66 ISK	6.08 ISK	13388810	4	6.50 ISK	11.82 ISK	16.28 ISK	6.70 ISK	3.38 ISK	9.78 ISK	20952591	33	6.75 ISK
180	3.199907644	3.60 ISK	3.18 ISK	0.19 ISK	3.52 ISK	9582873	4	3.56 ISK	20.65 ISK	30.00 ISK	8.44 ISK	6.57 ISK	19.77 ISK	5134851	29	8.77 ISK
181	3.922514528	10.08 ISK	1.25 ISK	3.78 ISK	3.82 ISK	17758622	13	9.95 ISK	17.85 ISK	189,900.00 ISK	14.00 ISK	36,542.15 ISK	17.99 ISK	10159712	27	14.76 ISK
182	1.87641903	1.98 ISK	1.00 ISK	0.48 ISK	1.90 ISK	8298449	7	1.98 ISK	33.16 ISK	292.90 ISK	17.00 ISK	52.49 ISK	29.98 ISK	4789302	26	17.98 ISK
183	13.20140389	18.10 ISK	6.67 ISK	2.89 ISK	13.50 ISK	17612369	19	18.07 ISK	29.88 ISK	189,700.00 ISK	25.98 ISK	29,609.25 ISK	29.93 ISK	31271704	41	26.20 ISK
184	20.03331591	21.50 ISK	8.01 ISK	3.43 ISK	20.03 ISK	8338968	14	21.50 ISK	78.28 ISK	221.00 ISK	39.98 ISK	37.54 ISK	56.07 ISK	14058572	52	40.51 ISK
185	32.90804309	35.00 ISK	2.50 ISK	9.20 ISK	22.00 ISK	9056728	12	35.00 ISK	60.30 ISK	89.90 ISK	40.99 ISK	11.85 ISK	42.63 ISK	15117935	37	41.78 ISK
186	4.106411523	4.22 ISK	4.03 ISK	0.10 ISK	4.09 ISK	1333156	3	4.22 ISK	13.80 ISK	189,900.00 ISK	4.99 ISK	35,261.73 ISK	8.40 ISK	8196602	29	7.83 ISK
187	10.91214627	11.19 ISK	10.18 ISK	0.49 ISK	11.10 ISK	1596684	7	11.19 ISK	34.74 ISK	3,496.00 ISK	29.87 ISK	720.84 ISK	39.90 ISK	1299311	23	29.87 ISK
188	9.18085095	10.24 ISK	1.23 ISK	3.25 ISK	10.17 ISK	1949851	10	10.24 ISK	50.14 ISK	52.94 ISK	39.00 ISK	5.14 ISK	44.80 ISK	2788287	23	40.62 ISK
189	21.59984575	21.70 ISK	21.50 ISK	0.07 ISK	21.59 ISK	11655380	6	21.61 ISK	80.32 ISK	189,900.00 ISK	39.96 ISK	29,290.71 ISK	76.99 ISK	4327840	42	39.99 ISK
